num_of_agents,items_per_agent,value_noise_ratio,alpha,algorithm,seed,success,max_overload,runtime
10,3,0.0,0.8,round_robin,0,0,inf,0.0010771809902507
10,3,0.0,0.8,round_robin,1,0,inf,0.0002032369957305
10,3,0.0,0.8,round_robin,2,0,inf,0.0001924300013342
10,3,0.0,0.8,round_robin,3,0,inf,0.0002194779954152
10,3,0.0,0.8,round_robin,4,0,inf,0.0002617220015963
10,3,0.0,0.8,serial_dictatorship,0,0,inf,0.0002127170009771
10,3,0.0,0.8,serial_dictatorship,1,0,inf,0.0002025210123974
10,3,0.0,0.8,serial_dictatorship,2,0,inf,0.0002721190103329
10,3,0.0,0.8,serial_dictatorship,3,0,inf,0.0001943550014402
10,3,0.0,0.8,serial_dictatorship,4,0,inf,0.0001765769993653
10,3,0.0,0.8,hffd,0,1,-0.3199999999999932,0.0009549599926685
10,3,0.0,0.8,hffd,1,1,-0.8800000000000239,0.0010089080024044
10,3,0.0,0.8,hffd,2,1,-0.3199999999999932,0.0017071220063371
10,3,0.0,0.8,hffd,3,1,-0.4400000000000119,0.0010723279992816
10,3,0.0,0.8,hffd,4,1,-0.4399999999999977,0.0016597630019532
10,3,0.0,1.0,round_robin,0,0,inf,0.0002284750080434
10,3,0.0,1.0,round_robin,1,0,inf,0.0001961290108738
10,3,0.0,1.0,round_robin,2,0,inf,0.000176713001565
10,3,0.0,1.0,round_robin,3,0,inf,0.0001892440050141
10,3,0.0,1.0,round_robin,4,0,inf,0.0002586760092526
10,3,0.0,1.0,serial_dictatorship,0,0,inf,0.0003371159982634
10,3,0.0,1.0,serial_dictatorship,1,0,inf,0.000186343997484
10,3,0.0,1.0,serial_dictatorship,2,0,inf,0.0001762970059644
10,3,0.0,1.0,serial_dictatorship,3,0,inf,0.0002045860019279
10,3,0.0,1.0,serial_dictatorship,4,0,inf,0.0002062690036837
10,3,0.0,1.0,hffd,0,1,-0.9000000000000057,0.0009594470029696
10,3,0.0,1.0,hffd,1,1,-0.5999999999999943,0.0012032339873258
10,3,0.0,1.0,hffd,2,1,-0.9000000000000057,0.0010472629946889
10,3,0.0,1.0,hffd,3,1,-0.8000000000000114,0.0010782329918583
10,3,0.0,1.0,hffd,4,1,-0.3000000000000113,0.0009808210015762
10,3,0.0,1.2,round_robin,0,0,inf,0.0002074299991363
10,3,0.0,1.2,round_robin,1,0,inf,0.0003251130110584
10,3,0.0,1.2,round_robin,2,0,inf,0.0001693890080787
10,3,0.0,1.2,round_robin,3,0,inf,0.0002007629955187
10,3,0.0,1.2,round_robin,4,0,inf,0.0001979469961952
10,3,0.0,1.2,serial_dictatorship,0,0,inf,0.0001634130021557
10,3,0.0,1.2,serial_dictatorship,1,0,inf,0.0001867989922175
10,3,0.0,1.2,serial_dictatorship,2,0,inf,0.0002116480027325
10,3,0.0,1.2,serial_dictatorship,3,0,inf,0.0001747640053508
10,3,0.0,1.2,serial_dictatorship,4,0,inf,0.0001731730008032
10,3,0.0,1.2,hffd,0,1,-0.4799999999999613,0.0011012150062015
10,3,0.0,1.2,hffd,1,1,-0.3199999999999932,0.0010916759929386
10,3,0.0,1.2,hffd,2,1,-0.4799999999999897,0.0010761760058812
10,3,0.0,1.2,hffd,3,1,-0.1599999999999966,0.0011852000025101
10,3,0.0,1.2,hffd,4,1,-1.1599999999999966,0.0019415569986449
10,3,0.3,0.8,round_robin,0,0,inf,0.0002062849962385
10,3,0.3,0.8,round_robin,1,0,inf,0.000205303003895
10,3,0.3,0.8,round_robin,2,0,inf,0.0004258380067767
10,3,0.3,0.8,round_robin,3,0,inf,0.000202832990908
10,3,0.3,0.8,round_robin,4,0,inf,0.0001974430051632
10,3,0.3,0.8,serial_dictatorship,0,0,inf,0.0002028079907177
10,3,0.3,0.8,serial_dictatorship,1,0,inf,0.0001858159957919
10,3,0.3,0.8,serial_dictatorship,2,0,inf,0.0001794849958969
10,3,0.3,0.8,serial_dictatorship,3,0,inf,0.0002877449878724
10,3,0.3,0.8,serial_dictatorship,4,0,inf,0.0001718050043564
10,3,0.3,0.8,hffd,0,1,-0.7278908399084116,0.001981021996471
10,3,0.3,0.8,hffd,1,1,-0.2665571807133347,0.0017086890002246
10,3,0.3,0.8,hffd,2,1,-0.2023428985100395,0.0014596779947169
10,3,0.3,0.8,hffd,3,1,-0.4310677629470945,0.0016513859882252
10,3,0.3,0.8,hffd,4,1,-0.0017229023872573,0.0011232959950575
10,3,0.3,1.0,round_robin,0,0,inf,0.0001813159906305
10,3,0.3,1.0,round_robin,1,0,inf,0.000176008004928
10,3,0.3,1.0,round_robin,2,0,inf,0.0001600419927854
10,3,0.3,1.0,round_robin,3,0,inf,0.0002012139884755
10,3,0.3,1.0,round_robin,4,0,inf,0.0001780599995981
10,3,0.3,1.0,serial_dictatorship,0,0,inf,0.0002111610083375
